bug: apr_pstrmemdup in ap_process_fnmatch_configs, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: ap_get_request_note in ap_location_walk, pair: (ap_get_request_note, log_error_core), support: 12, confidence: 80.00%
bug: ap_get_request_note in ap_file_walk, pair: (ap_get_request_note, log_error_core), support: 12, confidence: 80.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, log_error_core), support: 12, confidence: 80.00%
bug: read in ap_mpm_podx_check, pair: (apr_socket_opt_set, read), support: 3, confidence: 75.00%
bug: ap_satisfies in ap_sub_req_lookup_dirent, pair: (ap_satisfies, apr_hash_get), support: 14, confidence: 73.68%
bug: ap_satisfies in ap_sub_req_lookup_file, pair: (ap_satisfies, apr_hash_get), support: 14, confidence: 73.68%
bug: ap_satisfies in op_file_subr, pair: (ap_satisfies, apr_hash_get), support: 14, confidence: 73.68%
bug: ap_satisfies in ap_process_request_internal, pair: (ap_satisfies, apr_hash_get), support: 14, confidence: 73.68%
bug: ap_satisfies in ap_some_authn_required, pair: (ap_satisfies, apr_hash_get), support: 14, confidence: 73.68%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_uri_parse_hostinfo, strchr), support: 15, confidence: 93.75%
bug: apr_os_sock_get in ap_listen_pre_config, pair: (apr_os_sock_get, apr_vsnprintf), support: 13, confidence: 92.86%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_pstrmemdup, apr_uri_parse_hostinfo), support: 15, confidence: 93.75%
bug: ap_no2slash in op_url_subr, pair: (ap_no2slash, apr_table_make), support: 15, confidence: 83.33%
bug: ap_no2slash in ap_add_cgi_vars, pair: (ap_no2slash, apr_table_make), support: 15, confidence: 83.33%
bug: ap_no2slash in ap_process_request_internal, pair: (ap_no2slash, apr_table_make), support: 15, confidence: 83.33%
bug: qsort in ap_fixup_virtual_hosts, pair: (apr_array_push, qsort), support: 5, confidence: 71.43%
bug: qsort in ap_core_reorder_directories, pair: (apr_array_push, qsort), support: 5, confidence: 71.43%
bug: apr_shm_size_get in ap_reopen_scoreboard, pair: (apr_pollset_add, apr_shm_size_get), support: 3, confidence: 75.00%
bug: log_backtrace in op_url_subr, pair: (ap_pass_brigade, log_backtrace), support: 6, confidence: 75.00%
bug: log_backtrace in ap_add_cgi_vars, pair: (ap_pass_brigade, log_backtrace), support: 6, confidence: 75.00%
bug: ap_scan_vchar_obstext in check_headers_table, pair: (ap_scan_vchar_obstext, apr_brigade_cleanup), support: 3, confidence: 75.00%
bug: ap_rvputs in ap_process_request, pair: (ap_rvputs, apr_array_make), support: 9, confidence: 90.00%
bug: apr_pool_create_ex in ap_location_walk, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in ap_add_cgi_vars, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in ap_fixup_virtual_hosts, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in ap_sub_req_lookup_uri, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in make_sub_request, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in setaside_remaining_output, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in ap_file_walk, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_create_ex in ap_core_reorder_directories, pair: (ap_escape_errorlog_item, apr_pool_create_ex), support: 28, confidence: 77.78%
bug: apr_pool_userdata_setn in include_config, pair: (apr_os_thread_current, apr_pool_userdata_setn), support: 5, confidence: 83.33%
bug: memcmp in ap_allow_methods, pair: (apr_table_get, memcmp), support: 12, confidence: 66.67%
bug: memcmp in ap_method_list_remove, pair: (apr_table_get, memcmp), support: 12, confidence: 66.67%
